region,price,manufacturer,model,cylinders,fuel,odometer,transmission,drive,type,seats,engine_cc,max_power,age
bangalore,223000,hyundai,i10,4.0,petrol,94177,manual,fwd,hatchback,,,,16
bangalore,274000,ford,figo,,petrol,32036,manual,fwd,hatchback,,,,14
bangalore,522000,hyundai,grand i10,4.0,petrol,45820,automatic,fwd,hatchback,,,,9
bangalore,1296000,mg motors,hector,4.0,petrol,73601,automatic,fwd,suv,,,,5
bangalore,1138000,kia,seltos,4.0,petrol,91304,automatic,fwd,suv,,,,6
bangalore,515000,hyundai,xcent,4.0,petrol,27444,manual,fwd,sedan,,,,7
bangalore,554000,hyundai,grand i10,4.0,petrol,54141,automatic,fwd,hatchback,,,,8
bangalore,612000,volkswagen,vento,4.0,petrol,140815,automatic,fwd,sedan,,,,9
bangalore,431000,hyundai,grand i10,4.0,petrol,79733,automatic,fwd,hatchback,,,,11
bangalore,361000,ford,figo aspire,4.0,petrol,80839,manual,fwd,sedan,,,,8
bangalore,976000,nissan,magnite,3.0,petrol,13237,automatic,fwd,suv,,,,3
bangalore,331000,maruti suzuki,ritz,4.0,petrol,29502,manual,fwd,hatchback,,,,13
bangalore,347000,maruti suzuki,swift,4.0,petrol,100981,manual,fwd,hatchback,,,,13
bangalore,879000,tata,nexon,3.0,petrol,37299,automatic,fwd,suv,,,,5
bangalore,284000,renault,kwid,3.0,petrol,88982,manual,fwd,hatchback,,,,10
bangalore,250000,hyundai,i10,4.0,petrol,58536,automatic,fwd,hatchback,,,,15
bangalore,263000,hyundai,i10,4.0,petrol,57988,manual,fwd,hatchback,,,,13
bangalore,336000,hyundai,i20,4.0,petrol,87020,manual,fwd,hatchback,,,,13
bangalore,431000,maruti suzuki,celerio,3.0,petrol,27978,automatic,fwd,hatchback,,,,9
bangalore,572000,maruti suzuki,baleno,4.0,petrol,40516,automatic,fwd,hatchback,,,,9
bangalore,418000,maruti suzuki,celerio,3.0,petrol,45972,automatic,fwd,hatchback,,,,8
bangalore,244000,hyundai,i10,4.0,petrol,102822,manual,fwd,hatchback,,,,13
bangalore,512000,maruti suzuki,baleno,4.0,petrol,94346,manual,fwd,hatchback,,,,9
bangalore,1068438,kia,seltos,4.0,petrol,37073,manual,fwd,suv,,,,7
bangalore,274000,hyundai,i10,4.0,petrol,75189,automatic,fwd,hatchback,,,,15
bangalore,272000,renault,kwid,3.0,petrol,40172,manual,fwd,hatchback,,,,10
bangalore,829000,hyundai,venue,4.0,petrol,32517,manual,fwd,suv,,,,4
bangalore,401000,honda,amaze,4.0,petrol,72114,manual,fwd,sedan,,,,10
bangalore,283000,datsun,redi-go,3.0,petrol,49184,manual,fwd,hatchback,,,,8
bangalore,237000,datsun,redi-go,3.0,petrol,49872,manual,fwd,hatchback,,,,8
bangalore,235000,ford,figo,4.0,petrol,89472,manual,fwd,hatchback,,,,15
bangalore,527000,ford,ecosport,4.0,diesel,124464,manual,fwd,suv,,,,9
bangalore,1553000,kia,seltos,4.0,diesel,48983,automatic,fwd,suv,,,,4
