type,transmission,fuel,price,engine_cc,max_power,cylinders,seats,model,manufacturer,odometer,region,drive,age
hatchback,manual,cng,450000.0,1086.0,58.0,4.0,5.0,santro,hyundai,47600,noida,fwd,8
hatchback,manual,cng,450000.0,1086.0,58.0,4.0,5.0,santro,hyundai,23168,pune,fwd,7
hatchback,manual,cng,315000.0,998.0,58.16,3.0,5.0,wagon r,maruti,180278,pune,fwd,10
muv,manual,cng,607000.0,1373.0,80.9,4.0,7.0,ertiga,maruti,204603,pune,fwd,11
hatchback,manual,cng,239000.0,998.0,58.16,3.0,5.0,wagon r,maruti,71967,new delhi,fwd,11
hatchback,manual,cng,272000.0,796.0,47.3,3.0,5.0,alto 800,maruti,97720,pune,fwd,12
muv,manual,cng,898000.0,1462.0,91.19,4.0,7.0,ertiga,maruti,40073,pune,fwd,6
hatchback,manual,cng,5000000000.0,999.0,,4.0,5.0,santro,hyundai,80000,ahmedabad,,24
hatchback,manual,cng,450000.0,998.0,,3.0,5.0,celerio tour 2018-2021,maruti,37859,new delhi,,7
hatchback,manual,cng,285000.0,998.0,58.2,3.0,5.0,celerio,maruti,135606,gurgaon,fwd,11
hatchback,manual,cng,560000.0,998.0,58.33,3.0,5.0,celerio,maruti,39500,gurgaon,fwd,6
hatchback,manual,cng,280000.0,998.0,58.16,3.0,5.0,wagon r,maruti,64415,pune,fwd,12
hatchback,manual,cng,791000.0,1197.0,68.05,4.0,5.0,grand i10 nios,hyundai,7000,mumbai,,4
hatchback,manual,cng,350000.0,998.0,58.16,3.0,5.0,wagon r,maruti,58539,gurgaon,fwd,9
hatchback,manual,cng,340000.0,998.0,58.16,3.0,5.0,wagon r,maruti,128769,gurgaon,fwd,9
hatchback,manual,cng,280000.0,998.0,58.16,3.0,5.0,wagon r,maruti,90000,dewas,fwd,10
hatchback,manual,cng,325000.0,998.0,67.04,3.0,5.0,wagon r,maruti,52000,mumbai,fwd,12
hatchback,manual,cng,380000.0,998.0,58.16,3.0,5.0,wagon r,maruti,74547,pune,fwd,8
minivans,manual,cng,7000000000.0,796.0,,3.0,8.0,omni,maruti,35000,kanpur,rwd,23
sedan,manual,cng,715000.0,1197.0,68.05,4.0,5.0,aura,hyundai,20000,meerut,,5
hatchback,manual,cng,300000.0,998.0,58.16,3.0,5.0,wagon r,maruti,51106,new delhi,fwd,10
muv,manual,cng,650000.0,1373.0,80.46,4.0,7.0,ertiga,maruti,102425,pune,fwd,9
sedan,manual,cng,229999.99999999997,1798.0,138.0,4.0,5.0,corolla altis,toyota,110000,new delhi,fwd,16
muv,manual,cng,1027999.9999999999,1462.0,91.18,4.0,7.0,ertiga tour,maruti,50000,patna,fwd,4
hatchback,manual,cng,360000.0,998.0,58.33,3.0,5.0,wagon r,maruti,65000,thane,fwd,12
hatchback,manual,cng,645000.0,1197.0,68.05,4.0,5.0,grand i10 nios,hyundai,20400,gurgaon,,6
hatchback,manual,cng,9000000000.0,1086.0,,4.0,5.0,santro xing,hyundai,100000,meerut,,17
hatchback,manual,cng,330000.0,998.0,58.16,3.0,5.0,wagon r,maruti,47482,pune,fwd,9
minivans,manual,cng,500000.0,1196.0,61.68,4.0,5.0,eeco,maruti,56152,new delhi,,5
hatchback,manual,cng,235000.0,998.0,58.16,3.0,5.0,wagon r,maruti,96972,new delhi,fwd,12
hatchback,manual,cng,200000.0,998.0,58.2,3.0,5.0,wagon r,maruti,40807,new delhi,fwd,14
hatchback,manual,cng,150000.0,998.0,58.2,3.0,5.0,wagon r,maruti,142607,new delhi,fwd,15
hatchback,manual,cng,700000.0,1199.0,72.0,3.0,5.0,tiago,tata,10248,gurgaon,,4
minivans,manual,cng,400000.0,1196.0,61.7,4.0,5.0,eeco,maruti,44037,new delhi,rwd,7
hatchback,manual,cng,375000.0,998.0,58.16,3.0,5.0,wagon r,maruti,50000,faridabad,fwd,8
hatchback,manual,cng,600000.0,998.0,58.33,3.0,5.0,wagon r,maruti,35000,allahabad,fwd,5
sedan,manual,cng,832000.0,1199.0,72.4,3.0,5.0,tigor,tata,7508,pune,,4
sedan,manual,cng,900000.0,1197.0,68.05,4.0,5.0,aura,hyundai,10500,bhojpur,,4
hatchback,manual,cng,240000.0,998.0,58.3,3.0,4.0,alto k10,maruti,82264,new delhi,fwd,12
hatchback,manual,cng,375000.0,998.0,58.33,3.0,5.0,wagon r,maruti,55000,thane,fwd,12
hatchback,manual,cng,369000.0,998.0,67.04,3.0,5.0,wagon r,maruti,64000,thane,fwd,11
hatchback,manual,cng,175000.0,998.0,67.1,3.0,5.0,zen estilo,maruti,105503,new delhi,fwd,14
